,word,category,top10_cosine_similarity
2,girl,feminine,"('alone', 0.9272160530090332)"
1,women,feminine,"('america', 0.8516456484794617)"
2,girl,feminine,"('baby', 0.9348494410514832)"
3,girls,feminine,"('beach', 0.9144644737243652)"
3,boys,masculine,"('blacksmith', 0.9701992869377136)"
0,man,masculine,"('boats', 0.8945416212081909)"
0,man,masculine,"('boy', 0.8763992190361023)"
1,men,masculine,"('boy', 0.9019374251365662)"
0,woman,feminine,"('boy', 0.9406890869140625)"
3,girls,feminine,"('buying', 0.9135196208953857)"
1,men,masculine,"('caption', 0.9139763116836548)"
0,man,masculine,"('caption', 0.9258763194084167)"
0,woman,feminine,"('caption', 0.9262916445732117)"
3,boys,masculine,"('climbing', 0.9522798657417297)"
3,boys,masculine,"('courier', 0.9523334503173828)"
3,girls,feminine,"('dancing', 0.9284055233001709)"
1,men,masculine,"('dog', 0.8680384755134583)"
0,man,masculine,"('dog', 0.9068619608879089)"
2,boy,masculine,"('dog', 0.9217209815979004)"
2,boy,masculine,"('dressed', 0.9351779222488403)"
3,girls,feminine,"('elderly', 0.917199969291687)"
0,man,masculine,"('engraving', 0.8845489025115967)"
1,women,feminine,"('europe', 0.813908576965332)"
1,men,masculine,"('fish', 0.8661641478538513)"
1,men,masculine,"('fishing', 0.8805302381515503)"
3,girls,feminine,"('flute', 0.9152907729148865)"
1,women,feminine,"('foreign', 0.8116780519485474)"
3,girls,feminine,"('girl', 0.9286383390426636)"
2,girl,feminine,"('girls', 0.928638219833374)"
2,girl,feminine,"('guides', 0.9210936427116394)"
0,woman,feminine,"('holding', 0.8870750665664673)"
2,boy,masculine,"('holding', 0.9369127154350281)"
2,boy,masculine,"('horse', 0.9278053641319275)"
0,woman,feminine,"('hulme', 0.8808497190475464)"
1,men,masculine,"('hunting', 0.8709567785263062)"
1,men,masculine,"('illustration', 0.8866707682609558)"
0,man,masculine,"('illustration', 0.8944413065910339)"
1,women,feminine,"('ireland', 0.8994089365005493)"
1,men,masculine,"('man', 0.8800127506256104)"
0,woman,feminine,"('man', 0.9329833388328552)"
0,man,masculine,"('men', 0.8800127506256104)"
3,girls,feminine,"('nativity', 0.9323821663856506)"
3,girls,feminine,"('outfits', 0.921302080154419)"
2,girl,feminine,"('pair', 0.9235859513282776)"
3,boys,masculine,"('passage', 0.9508094787597656)"
2,girl,feminine,"('playing', 0.9496528506278992)"
3,girls,feminine,"('posed', 0.9266186952590942)"
3,boys,masculine,"('race', 0.9584092497825623)"
0,woman,feminine,"('reads', 0.8928446173667908)"
1,men,masculine,"('reads', 0.898253858089447)"
0,man,masculine,"('reads', 0.9129148721694946)"
3,boys,masculine,"('revenge', 0.9580374360084534)"
2,boy,masculine,"('sand', 0.9289844632148743)"
0,woman,feminine,"('sat', 0.8855133056640625)"
2,boy,masculine,"('sat', 0.9367201924324036)"
3,boys,masculine,"('scandals', 0.9562990665435791)"
1,women,feminine,"('schools', 0.8243471384048462)"
1,women,feminine,"('scotland', 0.819299042224884)"
0,woman,feminine,"('sitting', 0.9058582186698914)"
2,boy,masculine,"('sitting', 0.9458563327789307)"
2,girl,feminine,"('spending', 0.9180443286895752)"
3,boys,masculine,"('strawberry', 0.9490421414375305)"
1,women,feminine,"('suffrage', 0.8215604424476624)"
1,men,masculine,"('talking', 0.8924041390419006)"
0,woman,feminine,"('talking', 0.8940032720565796)"
2,boy,masculine,"('talking', 0.9276030659675598)"
2,girl,feminine,"('tea', 0.9175965785980225)"
1,women,feminine,"('teaching', 0.8534291386604309)"
1,women,feminine,"('traveller', 0.8060914874076843)"
1,women,feminine,"('tutor', 0.8191395401954651)"
3,boys,masculine,"('valet', 0.954436719417572)"
0,man,masculine,"('watercolour', 0.8630051612854004)"
0,woman,feminine,"('wearing', 0.895817220211029)"
2,boy,masculine,"('wearing', 0.933122456073761)"
3,boys,masculine,"('win', 0.9547706246376038)"
2,girl,feminine,"('winthrop', 0.9219480752944946)"
0,man,masculine,"('woman', 0.9329833388328552)"
2,boy,masculine,"('woman', 0.9406892657279968)"
3,girls,feminine,"('woods', 0.9230093955993652)"
2,girl,feminine,"('youngest', 0.9285764098167419)"
