,word,category,top10_cosine_similarity
3,boys,masculine,"('acts', 0.9442999958992004)"
1,women,feminine,"('affairs', 0.8034384250640869)"
2,girl,feminine,"('alone', 0.9218615293502808)"
1,women,feminine,"('america', 0.8797791600227356)"
2,girl,feminine,"('away', 0.9205041527748108)"
2,girl,feminine,"('baby', 0.9223126769065857)"
3,girls,feminine,"('beach', 0.9177761673927307)"
1,men,masculine,"('birds', 0.8417463898658752)"
0,man,masculine,"('boats', 0.883586049079895)"
0,man,masculine,"('boy', 0.8695081472396851)"
1,men,masculine,"('boy', 0.8763758540153503)"
0,woman,feminine,"('boy', 0.9421606659889221)"
3,girls,feminine,"('buying', 0.9316369295120239)"
0,man,masculine,"('caption', 0.8996003270149231)"
0,woman,feminine,"('caption', 0.9033010005950928)"
1,men,masculine,"('caption', 0.909937858581543)"
1,women,feminine,"('classic', 0.8006686568260193)"
2,girl,feminine,"('cousins', 0.9275161623954773)"
3,girls,feminine,"('dancing', 0.9207723736763)"
2,girl,feminine,"('dancing', 0.9268882274627686)"
0,man,masculine,"('dog', 0.8917424082756042)"
3,girls,feminine,"('dress', 0.9161266088485718)"
2,girl,feminine,"('dress', 0.9416660070419312)"
2,boy,masculine,"('dressed', 0.9296321868896484)"
3,boys,masculine,"('egg', 0.9343597888946533)"
3,girls,feminine,"('elderly', 0.9102329611778259)"
0,man,masculine,"('engraving', 0.8714287877082825)"
1,women,feminine,"('europe', 0.8290359377861023)"
3,girls,feminine,"('farm', 0.9186874628067017)"
1,men,masculine,"('fishing', 0.849997878074646)"
2,girl,feminine,"('guides', 0.9500929117202759)"
3,boys,masculine,"('guns', 0.941042959690094)"
3,boys,masculine,"('hands', 0.9388943910598755)"
0,woman,feminine,"('hat', 0.8908588290214539)"
0,woman,feminine,"('holding', 0.8997722268104553)"
2,boy,masculine,"('holding', 0.9561640620231628)"
2,boy,masculine,"('horse', 0.9269298911094666)"
0,woman,feminine,"('hulme', 0.8954899311065674)"
1,men,masculine,"('illustration', 0.8565142750740051)"
0,man,masculine,"('illustration', 0.891914427280426)"
1,women,feminine,"('ireland', 0.9125921130180359)"
2,boy,masculine,"('knitting', 0.9269704222679138)"
3,boys,masculine,"('lambert', 0.936552107334137)"
1,men,masculine,"('man', 0.8757737278938293)"
0,woman,feminine,"('man', 0.9146024584770203)"
0,man,masculine,"('men', 0.8757737278938293)"
3,boys,masculine,"('mug', 0.9342343211174011)"
3,boys,masculine,"('nativity', 0.9440436363220215)"
2,boy,masculine,"('older', 0.9413613677024841)"
1,women,feminine,"('peace', 0.8090932965278625)"
2,girl,feminine,"('playing', 0.9372786283493042)"
1,women,feminine,"('politics', 0.8113422989845276)"
2,girl,feminine,"('pony', 0.9261183142662048)"
3,girls,feminine,"('posed', 0.9141703248023987)"
1,men,masculine,"('reads', 0.8784580230712891)"
0,man,masculine,"('reads', 0.882226824760437)"
2,girl,feminine,"('rod', 0.9305443167686462)"
0,woman,feminine,"('sat', 0.8870418071746826)"
2,boy,masculine,"('sat', 0.9390450716018677)"
1,women,feminine,"('scotland', 0.8395944833755493)"
3,girls,feminine,"('sick', 0.9207449555397034)"
2,boy,masculine,"('sisters', 0.9289993047714233)"
0,man,masculine,"('sitting', 0.8711444139480591)"
0,woman,feminine,"('sitting', 0.9338237047195435)"
2,boy,masculine,"('sitting', 0.9482074975967407)"
1,men,masculine,"('smartly', 0.8557065725326538)"
3,girls,feminine,"('stockton', 0.9260228276252747)"
3,boys,masculine,"('strawberry', 0.9520630240440369)"
1,women,feminine,"('suffrage', 0.8120608925819397)"
3,girls,feminine,"('swing', 0.9124491214752197)"
0,woman,feminine,"('talking', 0.8748440146446228)"
1,men,masculine,"('talking', 0.8934906721115112)"
1,women,feminine,"('teaching', 0.8787582516670227)"
3,boys,masculine,"('telling', 0.9344779849052429)"
0,woman,feminine,"('wearing', 0.8835285902023315)"
2,boy,masculine,"('wearing', 0.9402850866317749)"
1,men,masculine,"('woman', 0.8436882495880127)"
0,man,masculine,"('woman', 0.9146024584770203)"
2,boy,masculine,"('woman', 0.942160964012146)"
3,boys,masculine,"('woods', 0.9416818022727966)"
